,R0,Sero_peak
0,1.0,0.0037
1,1.001,0.004
2,1.002,0.0422
3,1.003,0.0499
4,1.004,0.0567
5,1.005,0.065
6,1.006,0.0754
7,1.007,0.088
8,1.008,0.1025
9,1.009,0.1191
10,1.01,0.1376
11,1.011,0.158
12,1.012,0.1802
13,1.013,0.2042
14,1.014,0.2298
15,1.015,0.2571
16,1.016,0.286
17,1.017,0.3164
18,1.018,0.3482
19,1.019,0.3814
20,1.02,0.4159
21,1.021,0.4517
22,1.022,0.4888
23,1.023,0.5269
24,1.024,0.5662
25,1.025,0.6066
26,1.026,0.648
27,1.027,0.6903
28,1.028,0.7336
29,1.029,0.7778
30,1.03,0.8228
31,1.031,0.8686
32,1.032,0.9152
33,1.033,0.9625
34,1.034,1.0105
35,1.035,1.0592
36,1.036,1.1085
37,1.037,1.1584
38,1.038,1.2089
39,1.039,1.26
40,1.04,1.3115
41,1.041,1.3636
42,1.042,1.4162
43,1.043,1.4692
44,1.044,1.5226
45,1.045,1.5765
46,1.046,1.6307
47,1.047,1.6853
48,1.048,1.7403
49,1.049,1.7955
50,1.05,1.8511
51,1.051,1.9071
52,1.052,1.9632
53,1.053,2.0197
54,1.054,2.0764
55,1.055,2.1333
56,1.056,2.1905
57,1.057,2.2479
58,1.058,2.3055
59,1.059,2.3633
60,1.06,2.4212
61,1.061,2.4793
62,1.062,2.5376
63,1.063,2.596
64,1.064,2.6546
65,1.065,2.7133
66,1.066,2.7721
67,1.067,2.831
68,1.068,2.89
69,1.069,2.9492
70,1.07,3.0083
71,1.071,3.0676
72,1.072,3.127
73,1.073,3.1864
74,1.074,3.2458
75,1.075,3.3053
76,1.076,3.3649
77,1.077,3.4244
78,1.078,3.4841
79,1.079,3.5437
80,1.08,3.6035
81,1.081,3.6631
82,1.082,3.7228
83,1.083,3.7825
84,1.084,3.8422
85,1.085,3.9019
86,1.086,3.9616
87,1.087,4.0213
88,1.088,4.081
89,1.089,4.1406
90,1.09,4.2003
91,1.091,4.2599
92,1.092,4.3194
93,1.093,4.3789
94,1.094,4.4385
95,1.095,4.498
96,1.096,4.5575
97,1.097,4.6167
98,1.098,4.6761
99,1.099,4.7354
100,1.1,4.7946
101,1.101,4.8537
102,1.102,4.913
103,1.103,4.972
104,1.104,5.0308
105,1.105,5.09
106,1.106,5.1487
107,1.107,5.2074
108,1.108,5.2662
109,1.109,5.3247
110,1.11,5.3835
111,1.111,5.4418
112,1.112,5.5004
113,1.113,5.5585
114,1.114,5.6168
115,1.115,5.6749
116,1.116,5.733
117,1.117,5.791
118,1.118,5.849
119,1.119,5.9067
120,1.12,5.9644
121,1.121,6.0222
122,1.122,6.0794
123,1.123,6.1371
124,1.124,6.1943
125,1.125,6.2517
126,1.126,6.3086
127,1.127,6.3657
128,1.128,6.4225
129,1.129,6.4796
130,1.13,6.5362
131,1.131,6.593
132,1.132,6.6493
133,1.133,6.7058
134,1.134,6.762
135,1.135,6.8183
136,1.136,6.8743
137,1.137,6.9306
138,1.138,6.9862
139,1.139,7.0421
140,1.14,7.0978
141,1.141,7.1534
142,1.142,7.209
143,1.143,7.2639
144,1.144,7.3193
145,1.145,7.3741
146,1.146,7.4295
147,1.147,7.4844
148,1.148,7.5388
149,1.149,7.5938
150,1.15,7.6484
151,1.151,7.7026
152,1.152,7.7569
153,1.153,7.8109
154,1.154,7.865
155,1.155,7.9189
156,1.156,7.973
157,1.157,8.0268
158,1.158,8.0803
159,1.159,8.1336
160,1.16,8.1873
161,1.161,8.2401
162,1.162,8.2934
163,1.163,8.3465
164,1.164,8.3994
165,1.165,8.4522
166,1.166,8.5049
167,1.167,8.5576
168,1.168,8.6101
169,1.169,8.6619
170,1.17,8.7144
171,1.171,8.7662
172,1.172,8.8187
173,1.173,8.8705
174,1.174,8.9216
175,1.175,8.9736
176,1.176,9.0249
177,1.177,9.0763
178,1.178,9.1271
179,1.179,9.1788
180,1.18,9.2292
181,1.181,9.2806
182,1.182,9.3314
183,1.183,9.3816
184,1.184,9.4321
185,1.185,9.4829
186,1.186,9.5324
187,1.187,9.583
188,1.188,9.6332
189,1.189,9.6829
190,1.19,9.733
191,1.191,9.7826
192,1.192,9.8318
193,1.193,9.8815
194,1.194,9.9307
195,1.195,9.9796
196,1.196,10.029
197,1.197,10.0781
198,1.198,10.1267
199,1.199,10.1751
200,1.2,10.2241
201,1.201,10.2717
