R0,peak,15 days before peak
1,0.0031,0
1.001,0.0031,0
1.002,0.0031,0
1.003,0.0031,0
1.004,0.0031,0
1.005,0.0031,0
1.006,0.0033,0
1.007,0.0033,0
1.008,0.0033,0
1.009,0.0033,0
1.01,0.0036,0
1.011,0.0036,0
1.012,0.0036,0
1.013,0.0038,0.0004
1.014,0.0038,0.0004
1.015,0.004,0.0007
1.016,0.0044,0.0012
1.017,0.016,0.013
1.018,0.047,0.046
1.019,0.057,0.057
1.02,0.064,0.064
1.021,0.072,0.072
1.022,0.081,0.081
1.023,0.092,0.092
1.024,0.105,0.105
1.025,0.12,0.12
1.026,0.136,0.136
1.027,0.154,0.154
1.028,0.174,0.173
1.029,0.195,0.195
1.03,0.218,0.217
1.031,0.242,0.241
1.032,0.268,0.267
1.033,0.295,0.293
1.034,0.323,0.321
1.035,0.353,0.35
1.036,0.383,0.381
1.037,0.415,0.412
1.038,0.448,0.445
1.039,0.482,0.478
1.04,0.517,0.512
1.041,0.553,0.548
1.042,0.59,0.584
1.043,0.628,0.621
1.044,0.667,0.659
1.045,0.706,0.697
1.046,0.746,0.737
1.047,0.787,0.776
1.048,0.829,0.817
1.049,0.871,0.858
1.05,0.914,0.9
1.051,0.957,0.941
1.052,1.002,0.985
1.053,1.046,1.027
1.054,1.092,1.072
1.055,1.138,1.116
1.056,1.184,1.161
1.057,1.23,1.204
1.058,1.279,1.251
1.059,1.325,1.296
1.06,1.373,1.342
1.061,1.421,1.387
1.062,1.47,1.434
1.063,1.519,1.481
1.064,1.57,1.529
1.065,1.62,1.577
1.066,1.67,1.625
1.067,1.719,1.671
1.068,1.771,1.72
1.069,1.822,1.768
1.07,1.872,1.815
1.071,1.925,1.865
1.072,1.973,1.91
1.073,2.029,1.963
1.074,2.08,2.011
1.075,2.129,2.057
1.076,2.183,2.107
1.077,2.235,2.156
1.078,2.287,2.204
1.079,2.343,2.257
1.08,2.393,2.303
1.081,2.448,2.353
1.082,2.501,2.403
1.083,2.554,2.452
1.084,2.606,2.499
1.085,2.663,2.552
1.086,2.712,2.597
1.087,2.768,2.648
