,R0,Sero_peak
0,1.106,0.0036
1,1.106,0.004
2,1.106,0.0421
3,1.106,0.0499
4,1.106,0.0566
5,1.106,0.065
6,1.106,0.0754
7,1.106,0.088
8,1.106,0.1025
9,1.106,0.1191
10,1.106,0.1376
11,1.106,0.158
12,1.106,0.1802
13,1.106,0.2042
14,1.106,0.2298
15,1.106,0.2571
16,1.106,0.286
17,1.106,0.3163
18,1.106,0.3481
19,1.106,0.3814
20,1.106,0.4158
21,1.106,0.4517
22,1.106,0.4886
23,1.106,0.5268
24,1.106,0.566
25,1.106,0.6064
26,1.106,0.6478
27,1.106,0.6903
28,1.106,0.7331
29,1.106,0.7775
30,1.106,0.8221
31,1.106,0.8683
32,1.106,0.9148
33,1.106,0.9621
34,1.106,1.0104
35,1.106,1.0586
36,1.106,1.1077
37,1.106,1.1579
38,1.106,1.2077
39,1.106,1.2587
40,1.106,1.3109
41,1.106,1.3627
42,1.106,1.4159
43,1.106,1.4685
44,1.106,1.5205
45,1.106,1.5764
46,1.106,1.6292
47,1.106,1.6838
48,1.106,1.7376
49,1.106,1.7935
50,1.106,1.8486
51,1.106,1.9062
52,1.106,1.963
53,1.106,2.0189
54,1.106,2.0736
55,1.106,2.1314
56,1.106,2.1883
57,1.106,2.2439
58,1.106,2.3034
59,1.106,2.3618
60,1.106,2.4191
61,1.106,2.4751
62,1.106,2.5358
63,1.106,2.5955
64,1.106,2.6539
65,1.106,2.711
66,1.106,2.7667
67,1.106,2.8284
68,1.106,2.8889
69,1.106,2.9481
70,1.106,3.006
71,1.106,3.0623
72,1.106,3.1262
73,1.106,3.1795
74,1.106,3.2408
75,1.106,3.3007
76,1.106,3.3593
77,1.106,3.4162
78,1.106,3.4829
79,1.106,3.5368
80,1.106,3.6009
81,1.106,3.6514
82,1.106,3.7126
83,1.106,3.7724
84,1.106,3.8307
85,1.106,3.9015
86,1.106,3.9569
87,1.106,4.0104
88,1.106,4.0775
89,1.106,4.1276
90,1.106,4.1919
91,1.106,4.2549
92,1.106,4.3165
93,1.106,4.3767
94,1.106,4.4353
95,1.106,4.4923
96,1.106,4.5476
97,1.106,4.601
98,1.106,4.6727
99,1.106,4.7229
100,1.106,4.7921
101,1.106,4.8386
102,1.106,4.905
103,1.106,4.9702
104,1.106,5.0109
105,1.106,5.0729
106,1.106,5.1334
107,1.107,5.1925
108,1.108,5.2499
109,1.109,5.3058
110,1.11,5.3599
111,1.111,5.4393
112,1.112,5.4904
113,1.113,5.5396
114,1.114,5.6156
115,1.115,5.6614
116,1.116,5.705
117,1.117,5.7772
118,1.118,5.8484
119,1.119,5.8866
120,1.12,5.955
121,1.121,6.0222
122,1.122,6.0544
123,1.123,6.1185
124,1.124,6.1813
125,1.125,6.2427
126,1.126,6.3027
127,1.127,6.3613
128,1.128,6.4183
129,1.129,6.4738
130,1.13,6.5276
131,1.131,6.5798
132,1.132,6.6303
133,1.133,6.679
134,1.134,6.7259
135,1.135,6.8136
136,1.136,6.8574
137,1.137,6.8992
138,1.138,6.984
139,1.139,7.0225
140,1.14,7.0589
141,1.141,7.1403
142,1.142,7.1731
143,1.143,7.2523
144,1.144,7.2813
145,1.145,7.3581
146,1.146,7.3832
147,1.147,7.4575
148,1.148,7.5309
149,1.149,7.5501
150,1.15,7.6208
151,1.151,7.6905
152,1.152,7.7035
153,1.153,7.7702
154,1.154,7.8358
155,1.155,7.9003
156,1.156,7.9636
157,1.157,8.0256
158,1.158,8.0258
159,1.159,8.0845
160,1.16,8.1419
161,1.161,8.1979
162,1.162,8.2525
163,1.163,8.3057
164,1.164,8.3574
165,1.165,8.4077
166,1.166,8.4564
167,1.167,8.5036
168,1.168,8.5493
169,1.169,8.5933
170,1.17,8.7066
171,1.171,8.7482
172,1.172,8.7881
173,1.173,8.8263
174,1.174,8.8627
175,1.175,8.9728
176,1.176,9.0066
177,1.177,9.0385
178,1.178,9.0685
179,1.179,9.1757
180,1.18,9.2028
181,1.181,9.2279
182,1.182,9.2511
183,1.183,9.3551
184,1.184,9.3751
185,1.185,9.4779
186,1.186,9.4947
187,1.187,9.5093
188,1.188,9.6095
189,1.189,9.6208
190,1.19,9.7195
191,1.191,9.7274
192,1.192,9.8245
193,1.193,9.8287
194,1.194,9.9242
195,1.195,9.9248
196,1.196,10.0185
197,1.197,10.0153
198,1.198,10.1072
199,1.199,10.1002
200,1.2,10.1902
201,1.201,10.1791
202,1.202,10.2673
203,1.203,10.3548
204,1.204,10.3382
205,1.205,10.4237
206,1.206,10.5086
207,1.207,10.4861
208,1.208,10.5689
209,1.209,10.651
210,1.21,10.6225
211,1.211,10.7023
212,1.212,10.7815
213,1.213,10.7468
214,1.214,10.8236
215,1.215,10.8996
216,1.216,10.975
217,1.217,10.9321
218,1.218,11.0049
219,1.219,11.0769
220,1.22,11.1481
221,1.221,11.0966
222,1.222,11.1652
223,1.223,11.2329
224,1.224,11.2997
225,1.225,11.3657
226,1.226,11.4308
227,1.227,11.3666
228,1.228,11.4288
229,1.229,11.4901
230,1.23,11.5505
231,1.231,11.6099
232,1.232,11.6684
